qual,dp
3.16,7
3.03,19
3.07,7
3.76,12
3.61,59
3.57,14
3.09,7
3.89,14
3.52,10
3.88,4
3.79,14
3.7,16
3.04,23
3.83,19
3.96,8
3.63,18
3.12,6
3.52,10
3.81,10
3.31,8
3.92,5
3.45,4
3.83,49
3.36,12
3.44,42
3.08,7
3.48,7
3.44,14
3.27,6
3.09,31
3.25,31
3.03,26
3.77,3
3.84,7
3.45,19
3.2,135
3.33,65
3.07,14
3.97,5
3.38,6
3.36,4
3.92,7
3.26,79
3.06,35
3.43,5
3.02,9
3.87,6
3.59,8
3.88,36
3.67,18
3.03,4
3.15,17
3.31,7
3.17,20
3.72,7
3.35,103
3.87,72
3.75,56
3.91,7
3.01,8
3.08,12
3.33,11
3.7,50
3.15,95
3.58,27
3.29,6
3.1,46
3.43,8
3.17,4
3.09,6
3.46,47
3.19,279
3.71,15
3.7,6
3.22,29
3.43,16
3.26,86
3.94,11
3.76,25
3.21,5
3.6,31
3.34,38
3.93,5
3.68,25
3.43,5
3.48,13
3.44,20
3.08,9
3.06,4
3.52,51
3.82,112
3.11,23
3.31,20
3.17,10
3.15,11
3.83,4
3.03,3
3.19,10
3.84,5
3.43,30
3.11,121
3.28,5
3.81,4
3.96,24
3.11,22
3.14,9
3.14,16
3.72,38
3.7,6
3.42,46
3.84,58
3.76,18
3.84,11
3.92,105
3.1,14
3.27,17
3.18,24
3.61,12
3.73,13
3.7,25
3.49,24
3.83,4
3.64,2
3.99,6
3.29,97
3.85,6
3.91,26
3.09,2
3.52,32
3.71,41
3.3,11
3.97,19
3.29,9
3.49,33
3.59,19
3.02,6
3.93,44
3.86,12
3.14,17
3.9,9
3.65,40
3.92,18
3.82,3
3.05,6
3.64,19
3.94,66
3.69,4
3.83,5
3.13,297
3.97,20
3.66,2
3.13,39
3.88,14
3.25,132
3.03,5
3.18,30
3.26,3
3.25,6
3.71,70
3.54,36
3.98,41
3.91,111
3.66,6
3.8,15
3.99,6
3.38,12
3.09,24
3.59,100
3.32,17
3.91,16
3.24,13
3.69,4
3.03,2
3.91,132
3.31,39
3.59,9
3.46,32
3.79,6
3.08,14
3.25,4
3.49,35
3.66,16
3.11,16
3.85,12
3.2,29
3.19,29
3.46,2
3.18,9
3.83,18
3.23,3
3.52,17
3.03,19
3.3,14
3.28,54
3.25,15
3.42,44
3.43,5
3.08,22
3.72,120
3.44,13
3.11,14
3.49,10
3.3,8
3.27,18
3.41,19
3.63,16
3.52,9
3.21,18
3.44,119
3.13,3
3.72,76
3.04,9
3.36,5
3.62,81
3.3,21
3.99,9
3.3,9
3.41,35
3.45,12
3.66,105
3.43,23
3.1,4
3.09,17
3.03,86
3.63,233
3.5,23
3.24,35
3.97,33
3.91,36
3.52,12
3.13,10
3.31,14
3.92,20
3.79,46
3.97,9
3.24,29
3.56,4
3.77,15
3.39,27
3.82,4
3.42,22
3.3,5
3.05,29
3.39,107
3.07,10
3.04,15
3.06,10
3.1,6
3.26,24
3.49,11
3.71,8
3.81,81
3.31,5
3.37,9
3.95,72
3.43,4
3.91,17
3.96,12
3.81,4
3.06,8
3.45,22
3.42,68
3.03,30
3.71,7
3.44,5
3.96,136
3.55,75
3.28,11
3.23,13
3.01,7
3.12,14
3.3,29
3.43,14
3.55,23
3.53,6
3.74,13
3.95,106
3.36,6
3.42,5
3.66,90
3.5,5
3.96,67
3.46,14
3.66,6
3.99,24
3.2,10
3.37,14
3.89,11
3.81,180
3.58,13
3.55,5
3.04,6
3.13,73
3.05,341
3.81,98
3.17,10
3.13,85
3.55,26
3.25,15
3.7,30
3.75,11
3.78,43
3.71,6
3.66,8
3.29,37
3.44,7
3.94,17
3.31,5
3.84,32
3.79,13
3.34,60
3.52,19
3.22,19
3.07,21
3.46,7
3.85,48
3.93,37
3.63,4
3.09,4
3.53,15
3.02,4
3.67,415
3.82,15
3.94,39
3.38,14
3.41,7
3.44,7
3.84,25
3.7,15
3.73,8
3.21,19
3.64,4
3.38,6
3.77,21
3.09,12
3.38,5
3.66,8
3.42,22
3.39,7
3.41,25
3.51,56
3.11,5
3.01,19
3.35,79
3.74,11
3.82,3
3.56,3
3.24,43
3.69,6
3.97,30
3.93,72
3.96,34
3.21,25
3.68,34
3.64,47
3.35,7
3.64,34
3.55,10
3.48,48
3.25,56
3.88,8
3.55,7
3.28,72
3.18,139
3.39,12
3.1,19
3.08,7
3.05,8
3.59,70
3.81,8
3.63,46
3.38,21
3.91,18
3.01,77
3.47,11
3.91,25
3.43,36
3.68,221
3.83,47
3.2,23
3.62,17
3.99,2
3.25,4
3.95,6
3.3,10
3.3,7
3.82,3
3.96,25
3.33,26
3.16,6
3.21,34
3.65,11
3.44,37
3.72,4
3.3,6
3.74,16
3.25,15
3.95,6
3.23,15
3.96,11
3.55,6
3.2,10
3.03,19
3.71,7
3.86,14
3.97,8
3.42,43
3.76,164
3.43,9
3.08,10
3.32,5
3.97,12
3.62,10
3.12,18
3.19,14
3.51,16
3.3,7
3.53,10
3.4,22
3.17,29
3.69,3
3.52,24
3.55,78
3.38,13
3.66,62
3.17,6
3.34,216
3.87,13
3.8,3
3.61,61
3.17,10
